iter	BalancedAccuracy	Logloss
0	0.6560621639	0.6375119437
1	0.6678491467	0.6187137748
2	0.669047056	0.6120532687
3	0.6703731104	0.6088589355
4	0.670866968	0.6072528067
5	0.6712701831	0.6063326204
6	0.6728063427	0.6049468869
7	0.6737380614	0.6039037889
8	0.6749277182	0.6029454761
9	0.6755775104	0.6022160807
10	0.6759511252	0.6016139101
11	0.675979968	0.6010655696
12	0.6761643025	0.6005816889
13	0.6764719295	0.6000497637
14	0.6769597747	0.5996301156
15	0.6781404977	0.5990505194
16	0.6781522975	0.598893374
17	0.6785349101	0.5985265416
18	0.6787381215	0.59833749
19	0.6789558792	0.5980474369
20	0.679684093	0.597623074
21	0.6797117908	0.5972519418
22	0.6800559785	0.596976549
23	0.6805919498	0.596656127
24	0.6807623832	0.5964613728
25	0.6816159383	0.5959913871
26	0.681571461	0.5958349127
27	0.6816368657	0.5955304466
28	0.6818083612	0.5952024014
29	0.6819829574	0.5950823565
30	0.6825843606	0.5948365154
31	0.6828030298	0.5946281458
32	0.6828854117	0.5944397455
33	0.6831605514	0.5942354907
34	0.6832732967	0.5939595701
35	0.683630026	0.5937605933
36	0.6838084966	0.5935833331
37	0.6838418538	0.5934189185
38	0.6841945935	0.5932013671
39	0.6847168225	0.592872092
40	0.6848941731	0.5926953069
41	0.6852176533	0.5925485236
42	0.6854375387	0.5923693868
43	0.6855882561	0.5922419108
44	0.6856167559	0.5921315695
45	0.6857863555	0.5920212666
46	0.685728011	0.5918557341
47	0.6861519088	0.5916474133
48	0.686377223	0.5914950932
49	0.686469117	0.591349794
50	0.6864970172	0.5911363463
51	0.6866690694	0.5910241161
52	0.687067432	0.5908036171
53	0.6872007877	0.5906738878
54	0.6872640211	0.5905084803
55	0.687369186	0.5903622686
56	0.6873373432	0.5902826696
57	0.6876213831	0.5900978345
58	0.6876284345	0.5899589947
59	0.6876624958	0.5898579701
60	0.6877174035	0.5897615993
61	0.6877951607	0.5896873809
62	0.6879673893	0.5895566807
63	0.6881137812	0.5893667558
64	0.688403854	0.5892493821
65	0.6885855103	0.589089171
66	0.6884817392	0.5889601762
67	0.6887719011	0.5888214001
68	0.6888357536	0.588712412
69	0.6889334829	0.5886150208
70	0.6889182265	0.5885607414
71	0.688793732	0.5885069363
72	0.6890385882	0.5883541325
73	0.6891989169	0.5881643942
74	0.6891119129	0.5880418537
75	0.6892257951	0.5879473239
76	0.6892501112	0.5878488279
77	0.6892249417	0.58776111
78	0.6893267159	0.5876564034
79	0.6893792348	0.587563588
80	0.6895580325	0.5873603494
81	0.6896996854	0.5873007832
82	0.6897028264	0.5871992407
83	0.6897343047	0.5870877843
84	0.6901416333	0.5869732722
85	0.6902992038	0.5868842564
86	0.6902993874	0.586781722
87	0.6903787047	0.5866762901
88	0.6903696625	0.5865740677
89	0.6904936077	0.5864120316
90	0.6905908519	0.5863470708
91	0.6906390407	0.586262749
92	0.6906952707	0.58615497
93	0.690697812	0.5860784753
94	0.6907262857	0.5859604568
95	0.6908258706	0.5858788029
96	0.6908768838	0.585743219
97	0.6909409667	0.5856627924
98	0.6910789593	0.5854908866
99	0.6913118345	0.5853882451
