iter	Passed	Remaining
0	1480	146535
1	2861	140227
2	4146	134067
3	5490	131764
4	6817	129529
5	8096	126844
6	9364	124413
7	10553	121364
8	11884	120169
9	13272	119451
10	14482	117172
11	15775	115690
12	17023	113924
13	18279	112285
14	19560	110840
15	20861	109524
16	22024	107532
17	23246	105900
18	24554	104679
19	25883	103532
20	27179	102247
21	28351	100519
22	29661	99300
23	31030	98263
24	32377	97132
25	33770	96115
26	35059	94791
27	36477	93799
28	37817	92586
29	39027	91063
30	40484	90109
31	41762	88744
32	43046	87397
33	44226	85851
34	45574	84638
35	47029	83608
36	48351	82327
37	49507	80774
38	50832	79506
39	52105	78157
40	53523	77021
41	54977	75921
42	56305	74638
43	57614	73327
44	58825	71897
45	60162	70625
46	61649	69519
47	63019	68271
48	64403	67032
49	65774	65774
50	67060	64430
51	68459	63193
52	69839	61933
53	71215	60665
54	72662	59450
55	73904	58068
56	75191	56723
57	76658	55511
58	77985	54193
59	79356	52904
60	80558	51504
61	81673	50057
62	83135	48825
63	84510	47537
64	85895	46251
65	87261	44953
66	88500	43589
67	90031	42367
68	91434	41079
69	92842	39789
70	94131	38448
71	95336	37075
72	96849	35821
73	98118	34474
74	99483	33161
75	100725	31808
76	101872	30429
77	103170	29099
78	104491	27776
79	105870	26467
80	107297	25168
81	108646	23849
82	109920	22513
83	111337	21207
84	112770	19900
85	114200	18590
86	115537	17264
87	116599	15899
88	117897	14571
89	119387	13265
90	120637	11931
91	121974	10606
92	123139	9268
93	124340	7936
94	125622	6611
95	126881	5286
96	128231	3965
97	129601	2644
98	130932	1322
99	132398	0
